id,label
60001,8
60002,8
60003,7
60004,7
60005,8
60006,3
60007,4
60008,5
60009,2
60010,5
60011,5
60012,5
60013,8
60014,7
60015,7
60016,0
60017,8
60018,0
60019,6
60020,1
60021,3
60022,0
60023,5
60024,3
60025,1
60026,5
60027,0
60028,3
60029,4
60030,8
60031,4
60032,1
60033,1
60034,1
60035,8
60036,9
60037,1
60038,2
60039,3
60040,3
60041,5
60042,8
60043,1
60044,7
60045,0
60046,7
60047,9
60048,1
60049,4
60050,0
60051,2
60052,8
60053,0
60054,2
60055,6
60056,3
60057,1
60058,0
60059,2
60060,7
60061,8
60062,7
60063,1
60064,2
60065,1
60066,7
60067,1
60068,8
60069,7
60070,1
60071,2
60072,6
60073,6
60074,2
60075,5
60076,6
60077,6
60078,3
60079,5
60080,3
60081,7
60082,6
60083,3
60084,2
60085,8
60086,4
60087,3
60088,6
60089,0
60090,8
60091,3
60092,9
60093,2
60094,6
60095,0
60096,8
60097,3
60098,9
60099,8
60100,6
60101,8
60102,7
60103,1
60104,4
60105,7
60106,5
60107,7
60108,6
60109,4
60110,0
60111,6
60112,4
60113,1
60114,1
60115,0
60116,4
60117,8
60118,0
60119,7
60120,2
60121,1
60122,6
60123,8
60124,6
60125,5
60126,9
60127,2
60128,3
60129,7
60130,2
60131,5
60132,9
60133,4
60134,7
60135,5
60136,1
60137,5
60138,0
60139,3
60140,5
60141,3
60142,8
60143,1
60144,7
60145,2
60146,5
60147,1
60148,2
60149,9
60150,1
60151,0
60152,4
60153,1
60154,3
60155,3
60156,3
60157,2
60158,6
60159,2
60160,9
60161,4
60162,1
60163,7
60164,6
60165,0
60166,6
60167,5
60168,5
60169,5
60170,3
60171,1
60172,2
60173,8
60174,3
60175,2
60176,9
60177,0
60178,3
60179,6
60180,8
60181,9
60182,4
60183,4
60184,9
60185,3
60186,7
60187,3
60188,6
60189,8
60190,3
60191,7
60192,7
60193,2
60194,4
60195,8
60196,0
60197,9
60198,6
60199,7
60200,4
60201,1
60202,2
60203,1
60204,1
60205,0
60206,1
60207,8
60208,5
60209,3
60210,9
60211,6
60212,3
60213,9
60214,0
60215,7
60216,9
60217,1
60218,1
60219,7
60220,3
60221,4
60222,7
60223,6
60224,9
60225,8
60226,5
60227,2
60228,8
60229,8
60230,3
60231,3
60232,8
60233,3
60234,1
60235,1
60236,7
60237,7
60238,8
60239,4
60240,3
60241,6
60242,3
60243,9
60244,9
60245,4
60246,5
60247,1
60248,1
60249,5
60250,1
60251,5
60252,0
60253,5
60254,1
60255,7
60256,7
60257,8
60258,1
60259,5
60260,1
60261,7
60262,6
60263,9
60264,2
60265,3
60266,6
60267,7
60268,2
60269,9
60270,3
60271,4
60272,7
60273,2
60274,3
60275,0
60276,0
60277,3
60278,0
60279,1
60280,8
60281,1
60282,9
60283,1
60284,8
60285,1
60286,3
60287,0
60288,3
60289,3
60290,9
60291,1
60292,3
60293,6
60294,2
60295,7
60296,4
60297,8
60298,5
60299,7
60300,2
60301,8
60302,0
60303,0
60304,2
60305,8
60306,7
60307,9
60308,0
60309,3
60310,1
60311,7
60312,2
60313,2
60314,5
60315,7
60316,5
60317,6
60318,7
60319,9
60320,3
60321,1
60322,0
60323,6
60324,9
60325,1
60326,7
60327,1
60328,8
60329,8
60330,8
60331,2
60332,3
60333,0
60334,7
60335,9
60336,0
60337,6
60338,5
60339,9
60340,1
60341,4
60342,3
60343,4
60344,2
60345,2
60346,4
60347,5
60348,7
60349,9
60350,3
60351,2
60352,5
60353,9
60354,7
60355,9
60356,4
60357,6
60358,8
60359,3
60360,7
60361,6
60362,8
60363,5
60364,8
60365,2
60366,4
60367,3
60368,1
60369,7
60370,2
60371,7
60372,0
60373,3
60374,9
60375,9
60376,1
60377,0
60378,3
60379,0
60380,9
60381,6
60382,6
60383,0
60384,8
60385,3
60386,7
60387,8
60388,7
60389,1
60390,9
60391,4
60392,2
60393,2
60394,0
60395,4
60396,2
60397,1
60398,8
60399,1
60400,4
60401,2
60402,5
60403,2
60404,6
60405,9
60406,8
60407,6
60408,4
60409,9
60410,8
60411,4
60412,1
60413,6
60414,8
60415,9
60416,9
60417,6
60418,4
60419,8
60420,2
60421,7
60422,6
60423,8
60424,5
60425,6
60426,0
60427,2
60428,5
60429,6
60430,1
60431,6
60432,5
60433,1
60434,9
60435,7
60436,4
60437,4
60438,6
60439,6
60440,3
60441,3
60442,1
60443,2
60444,9
60445,5
60446,0
60447,5
60448,0
60449,4
60450,1
60451,2
60452,2
60453,1
60454,3
60455,1
60456,0
60457,4
60458,3
60459,3
60460,1
60461,0
60462,5
60463,6
60464,7
60465,8
60466,6
60467,1
60468,8
60469,1
60470,3
60471,1
60472,4
60473,0
60474,1
60475,3
60476,1
60477,2
60478,9
60479,8
60480,3
60481,0
60482,2
60483,9
60484,9
60485,4
60486,1
60487,8
60488,7
60489,2
60490,0
60491,7
60492,0
60493,5
60494,9
60495,9
60496,5
60497,1
60498,3
60499,4
60500,1
60501,4
60502,6
60503,7
60504,4
60505,9
60506,2
60507,1
60508,4
60509,0
60510,1
60511,5
60512,4
60513,9
60514,0
60515,6
60516,4
60517,8
60518,7
60519,5
60520,6
60521,4
60522,1
60523,3
60524,5
60525,1
60526,0
60527,9
60528,8
60529,1
60530,4
60531,8
60532,5
60533,3
60534,8
60535,6
60536,7
